172.17.12.136, 172.17.12.2
172.17.12.161, 172.17.12.1
172.17.12.161, 172.17.12.1
172.17.12.161, 172.17.12.1
172.17.12.161, 172.17.12.1
172.17.12.161, 172.17.12.1
172.17.12.158, 172.17.12.2
172.17.12.2, 172.17.12.212
172.17.12.2, 172.17.12.212
172.17.12.212, 172.17.12.1
172.17.12.162, 172.17.12.1
172.17.12.167, 172.17.12.1
172.17.12.2, 172.17.12.213
172.17.12.2, 172.17.12.213
172.17.12.193, 172.17.12.2
172.17.12.162, 54.235.83.180
172.17.12.162, 172.17.12.1
172.17.12.205, 172.17.12.1
172.17.12.2, 172.17.12.214
172.17.12.2, 172.17.12.214
172.17.12.2, 172.17.12.214
172.17.12.209, 172.17.12.2
172.17.12.193, 172.17.12.1
10.144.17.171, 172.17.12.1
172.17.12.192, 172.17.12.1
172.17.12.2, 172.17.12.215
172.17.12.153, 172.17.12.1
172.17.12.203, 172.17.12.1
172.17.12.193, 172.17.12.1
172.17.12.195, 172.17.12.2
172.17.12.162, 172.17.12.1
172.17.12.210, 172.17.12.2
172.17.12.2, 172.17.12.216
172.17.12.2, 172.17.12.216
172.17.12.192, 172.17.12.1
172.17.12.153, 172.17.12.1
172.17.12.153, 206.155.83.124
172.17.12.85, 172.17.12.1
172.17.12.2, 172.17.12.217
172.17.12.2, 172.17.12.217
172.17.12.2, 172.17.12.217
172.17.12.203, 172.17.12.1
10.23.6.3, 172.17.12.1
172.17.12.2, 172.17.12.217
10.23.6.3, 172.17.12.1
172.17.12.216, 172.17.12.1
172.17.12.203, 172.17.12.1
172.17.12.153, 172.17.12.1
10.125.73.18, 172.17.12.1
172.17.12.209, 172.17.12.1
172.17.12.2, 172.17.12.218
172.17.12.135, 172.17.12.135
172.17.12.135, 169.254.255.255
172.17.12.135, 172.17.12.1
172.17.12.2, 172.17.12.219
172.17.12.2, 172.17.12.219
172.17.12.2, 172.17.12.218
172.17.12.162, 172.17.12.1
172.17.12.2, 172.17.12.218
172.17.12.192, 172.17.12.1
172.17.12.2, 172.17.12.219
172.17.12.192, 172.17.12.1
172.17.12.2, 172.17.12.219
172.17.12.2, 172.17.12.220
172.17.12.219, 172.17.12.1
172.17.12.135, 172.17.12.135
172.17.12.135, 169.254.255.255
172.17.12.2, 172.17.12.220
172.17.12.135, 172.17.12.1
172.17.12.224, 172.17.12.2
172.17.12.2, 172.17.12.220
172.17.12.135, 172.17.12.1
169.254.246.65, 169.254.246.65
169.254.246.65, 169.254.246.65
172.17.12.186, 172.17.12.1
172.17.12.135, 169.254.255.255
172.17.12.135, 169.254.255.255
172.17.12.2, 172.17.12.221
172.17.12.135, 172.17.12.1
172.17.12.135, 172.17.12.135
172.17.12.140, 172.17.12.1
172.17.12.135, 172.17.12.1
0.0.0.0, 172.17.12.129
172.17.12.129, 172.17.12.129
172.17.12.129, 172.17.12.129
172.17.12.129, 172.17.12.1
172.17.12.129, 169.254.255.255
172.17.12.221, 172.17.12.1
172.17.12.203, 172.17.12.1
172.17.12.192, 172.17.12.1
172.17.12.161, 172.17.12.1
172.17.12.161, 172.17.12.1
172.17.12.161, 172.17.12.1
172.17.12.161, 172.17.12.1
172.17.12.161, 172.17.12.1
172.17.12.192, 172.17.12.1
172.17.12.192, 172.17.12.1
172.17.12.235, 172.17.12.2
172.17.12.213, 172.17.12.1
172.17.12.213, 172.17.12.1
172.17.12.2, 172.17.12.222
172.17.12.2, 172.17.12.227
172.17.12.2, 172.17.12.228
172.17.12.182, 172.17.12.1
172.17.12.2, 172.17.12.228
172.17.12.210, 172.17.12.1
172.17.12.2, 172.17.12.228
172.17.12.227, 172.17.12.1
172.17.12.228, 172.17.12.228
172.17.12.228, 172.17.12.1
172.17.12.85, 172.17.12.1
172.17.12.162, 172.17.12.1
172.17.12.209, 172.17.12.2
172.17.12.2, 172.17.12.229
172.17.12.2, 172.17.12.229
172.17.12.2, 172.17.12.229
172.17.12.2, 172.17.12.230
172.17.12.2, 172.17.12.230
172.17.12.2, 172.17.12.230
172.17.12.2, 172.17.12.231
172.17.12.2, 172.17.12.230
172.17.12.2, 172.17.12.231
172.17.12.2, 172.17.12.232
172.17.12.219, 172.17.12.2
172.17.12.2, 172.17.12.232
172.17.12.2, 172.17.12.231
172.17.12.222, 172.17.12.1
172.17.12.2, 172.17.12.231
172.17.12.2, 172.17.12.232
172.17.12.2, 172.17.12.232
172.17.12.186, 172.17.12.2
172.17.12.2, 172.17.12.233
172.17.12.221, 172.17.12.2
172.17.12.2, 172.17.12.233
172.17.12.2, 172.17.12.233
172.17.12.232, 172.17.12.1
172.17.12.2, 172.17.12.233
10.77.136.0, 172.17.12.1
172.17.12.161, 172.17.12.1
172.17.12.161, 172.17.12.1
172.17.12.161, 172.17.12.1
172.17.12.161, 172.17.12.1
172.17.12.161, 172.17.12.1
172.17.12.233, 172.17.12.1
172.17.12.2, 172.17.12.234
172.17.12.162, 172.17.12.1
172.17.12.2, 172.17.12.234
172.17.12.2, 172.17.12.234
172.17.12.2, 172.17.12.234
172.17.12.234, 172.17.12.1
172.17.12.215, 172.17.12.1
172.17.12.52, 172.17.12.2
172.17.12.203, 172.17.12.1
172.17.12.215, 172.17.12.1
172.17.12.2, 172.17.12.236
172.17.12.203, 172.17.12.1
172.17.12.2, 172.17.12.236
172.17.12.140, 172.17.12.1
172.17.12.203, 172.17.12.1
172.17.12.140, 172.17.12.1
172.17.12.140, 172.17.12.1
172.17.12.210, 172.17.12.1
172.17.12.10, 172.17.12.1
172.17.12.10, 172.17.12.1
172.17.12.10, 172.17.12.1
172.17.12.10, 172.17.12.1
172.17.12.10, 172.17.12.1
172.17.12.2, 172.17.12.11
172.17.12.2, 172.17.12.12
172.17.12.241, 172.17.12.2
172.17.12.2, 172.17.12.11
172.17.12.2, 172.17.12.12
172.17.12.2, 172.17.12.12
172.17.12.125, 172.17.12.1
172.17.12.140, 172.17.12.1
172.17.12.140, 172.17.12.1
172.17.12.140, 172.17.12.1
172.17.12.203, 172.17.12.1
172.17.12.203, 172.17.12.1
172.17.12.235, 172.17.12.2
172.17.12.203, 172.17.12.1
172.17.12.140, 172.17.12.1
172.17.12.198, 169.254.255.255
172.17.12.198, 169.254.255.255
172.17.12.198, 172.17.12.1
172.17.12.198, 169.254.255.255
172.17.12.198, 172.17.12.198
172.17.12.2, 172.17.12.13
172.17.12.203, 172.17.12.1
172.17.12.2, 172.17.12.13
172.17.12.2, 172.17.12.13
172.17.12.162, 172.17.12.2
172.17.12.13, 172.17.12.1
172.17.12.194, 172.17.12.1
172.17.12.218, 172.17.12.2
172.17.12.4, 172.17.12.1
172.17.12.93, 172.17.12.2
172.17.12.2, 172.17.12.210
169.254.85.54, 169.254.85.54
172.17.12.2, 172.17.12.210
0.0.0.0, 172.17.12.38
172.17.12.2, 172.17.12.210
0.0.0.0, 172.17.12.38
0.0.0.0, 172.17.12.38
172.17.12.99, 172.17.12.1
172.17.12.2, 172.17.12.210
172.17.12.38, 172.17.12.38
172.17.12.210, 172.17.12.1
172.17.12.2, 172.17.12.50
172.17.12.2, 172.17.12.50
172.17.12.2, 172.17.12.50
172.17.12.50, 172.17.12.50
172.17.12.50, 172.17.12.50
172.17.12.50, 172.17.12.1
172.17.12.224, 172.17.12.50
172.17.12.50, 172.17.12.224
172.17.12.50, 172.17.12.224
172.17.12.233, 172.17.12.1
172.17.12.2, 172.17.12.51
172.17.12.2, 172.17.12.51
172.17.12.2, 172.17.12.51
172.17.12.2, 172.17.12.53
172.17.12.2, 172.17.12.53
172.17.12.2, 172.17.12.53
172.17.12.2, 172.17.12.54
172.17.12.2, 172.17.12.53
172.17.12.2, 172.17.12.54
172.17.12.2, 172.17.12.54
172.17.12.29, 172.17.12.1
172.17.12.29, 172.17.12.1
172.17.12.2, 172.17.12.54
172.17.12.29, 172.17.12.1
172.17.12.29, 172.17.12.1
172.17.12.29, 172.17.12.1
0.0.0.0, 169.254.68.69
0.0.0.0, 169.254.68.69
169.254.68.69, 169.254.68.69
169.254.68.69, 169.254.68.69
169.254.68.69, 169.254.68.69
172.17.12.49, 172.17.12.1
172.17.12.41, 172.17.12.2
172.17.12.52, 172.17.12.2
172.17.12.52, 172.17.12.50
0.0.0.0, 169.254.68.69
0.0.0.0, 169.254.68.69
0.0.0.0, 169.254.68.69
169.254.68.69, 169.254.68.69
169.254.68.69, 169.254.68.69
169.254.68.69, 169.254.68.69
0.0.0.0, 172.17.12.53
0.0.0.0, 172.17.12.53
172.17.12.53, 172.17.12.53
172.17.12.53, 172.17.12.53
172.17.12.53, 172.17.12.53
169.254.68.69, 169.254.68.69
172.17.12.53, 172.17.12.53
172.17.12.53, 169.254.255.255
172.17.12.53, 172.17.12.1
172.17.12.53, 172.17.12.1
172.17.12.53, 172.17.12.1
172.17.12.2, 172.17.12.55
172.17.12.2, 172.17.12.55
172.17.12.2, 172.17.12.55
172.17.12.2, 172.17.12.55
0.0.0.0, 172.17.12.55
0.0.0.0, 172.17.12.55
0.0.0.0, 172.17.12.55
172.17.12.55, 172.17.12.55
172.17.12.55, 172.17.12.55
172.17.12.55, 172.17.12.1
172.17.12.55, 169.254.255.255
172.17.12.55, 172.17.12.1
172.17.12.55, 172.17.12.1
172.17.12.45, 172.17.12.2
172.17.12.224, 172.17.12.50
172.17.12.224, 172.17.12.50
172.17.12.18, 172.17.12.2
172.17.12.48, 172.17.12.2
172.17.12.50, 172.17.12.235
172.17.12.10, 172.17.12.1
172.17.12.10, 172.17.12.1
172.17.12.10, 172.17.12.1
172.17.12.10, 172.17.12.1
172.17.12.10, 172.17.12.1
172.17.12.49, 172.17.12.2
172.17.12.210, 172.17.12.2
172.17.12.239, 172.17.12.2
172.17.12.2, 172.17.12.56
172.17.12.2, 172.17.12.56
172.17.12.2, 172.17.12.56
172.17.12.2, 172.17.12.57
172.17.12.2, 172.17.12.57
172.17.12.2, 172.17.12.57
172.17.12.2, 172.17.12.57
10.153.254.251, 172.17.12.1
172.17.12.57, 172.17.12.1
172.17.12.2, 172.17.12.58
172.17.12.50, 172.17.12.2
172.17.12.2, 172.17.12.58
172.17.12.2, 172.17.12.58
172.17.12.38, 172.17.12.2
172.17.12.52, 172.17.12.50
172.17.12.2, 172.17.12.59
172.17.12.13, 172.17.12.1
172.17.12.2, 172.17.12.59
172.17.12.2, 172.17.12.59
0.0.0.0, 172.17.12.229
0.0.0.0, 172.17.12.229
172.17.12.59, 172.17.12.1
172.17.12.49, 172.17.12.1
10.150.235.29, 172.17.12.1
172.17.12.229, 172.17.12.229
172.17.12.229, 172.17.12.229
172.17.12.229, 172.17.12.1
10.150.235.29, 172.17.12.1
172.17.12.58, 172.17.12.1
172.17.12.29, 172.17.12.1
172.17.12.29, 172.17.12.1
172.17.12.29, 172.17.12.1
172.17.12.29, 172.17.12.1
172.17.12.29, 172.17.12.1
172.17.12.29, 172.17.12.1
172.17.12.225, 172.17.12.1
172.17.12.45, 172.17.12.1
172.17.12.2, 172.17.12.60
172.17.12.2, 172.17.12.60
172.17.12.2, 172.17.12.60
172.17.12.2, 172.17.12.60
172.17.12.60, 172.17.12.1
172.17.12.2, 172.17.12.62
172.17.12.2, 172.17.12.62
172.17.12.2, 172.17.12.62
172.17.12.52, 172.17.12.2
172.17.12.2, 172.17.12.63
172.17.12.2, 172.17.12.63
172.17.12.2, 172.17.12.63
172.17.12.63, 172.17.12.1
172.17.12.43, 172.17.12.43
172.17.12.43, 169.254.255.255
172.17.12.43, 172.17.12.1
172.17.12.43, 172.17.12.1
172.17.12.43, 172.17.12.43
172.17.12.43, 172.17.12.1
172.17.12.93, 172.17.12.50
0.0.0.0, 172.17.12.46
172.17.12.93, 172.17.12.50
172.17.12.50, 172.17.12.93
0.0.0.0, 172.17.12.46
0.0.0.0, 172.17.12.46
172.17.12.46, 172.17.12.46
172.17.12.46, 172.17.12.46
172.17.12.46, 172.17.12.46
172.17.12.46, 172.17.12.1
172.17.12.46, 169.254.255.255
172.17.12.46, 172.17.12.1
172.17.12.2, 172.17.12.64
172.17.203.245, 172.17.203.1
172.17.203.245, 172.17.203.1
172.17.12.2, 172.17.12.64
172.17.203.245, 172.17.203.1
0.0.0.0, 169.254.226.168
0.0.0.0, 169.254.226.168
172.17.12.241, 172.17.12.2
172.17.12.43, 172.17.12.1
172.17.12.43, 169.254.255.255
172.17.12.43, 169.254.255.255
172.17.12.43, 172.17.12.43
172.17.12.192, 172.17.12.1
0.0.0.0, 172.17.12.64
0.0.0.0, 172.17.12.64
172.17.12.93, 172.17.12.50
172.17.12.64, 172.17.12.64
172.17.12.192, 172.17.12.1
172.17.12.64, 172.17.12.64
172.17.12.64, 172.17.12.64
169.254.226.168, 169.254.226.168
172.17.12.64, 172.17.12.64
172.17.12.64, 169.254.255.255
172.17.12.64, 172.17.12.1
172.17.12.64, 172.17.12.1
172.17.12.64, 172.17.12.1
172.17.12.241, 172.17.12.1
172.17.12.50, 172.17.12.1
172.17.12.52, 172.17.12.50
100.71.200.139, 172.17.12.1
100.71.200.139, 172.17.12.1
172.17.12.49, 172.17.12.1
172.17.12.210, 172.17.12.2
172.17.12.2, 172.17.12.65
172.17.12.2, 172.17.12.65
172.17.12.2, 172.17.12.66
172.17.12.2, 172.17.12.66
172.17.12.2, 172.17.12.65
172.17.12.2, 172.17.12.66
172.17.12.65, 172.17.12.1
172.17.12.2, 172.17.12.66
172.17.12.10, 172.17.12.1
172.17.12.10, 172.17.12.1
172.17.12.10, 172.17.12.1
172.17.12.10, 172.17.12.1
0.0.0.0, 172.17.12.66
0.0.0.0, 172.17.12.66
172.17.12.2, 172.17.12.67
0.0.0.0, 172.17.12.66
172.17.12.66, 172.17.12.66
172.17.12.66, 172.17.12.66
172.17.12.66, 172.17.12.66
172.17.12.66, 172.17.12.1
172.17.12.66, 169.254.255.255
172.17.12.66, 172.17.12.1
172.17.12.66, 172.17.12.1
172.17.12.2, 172.17.12.67
172.17.12.244, 172.17.12.2
172.17.12.2, 172.17.12.68
172.17.12.2, 172.17.12.68
172.17.12.2, 172.17.12.69
172.17.12.2, 172.17.12.67
172.17.12.2, 172.17.12.69
172.17.12.2, 172.17.12.67
172.17.12.2, 172.17.12.68
172.17.12.2, 172.17.12.68
172.17.12.16, 172.17.12.1
172.17.12.2, 172.17.12.69
172.17.12.69, 172.17.12.1
172.17.12.2, 172.17.12.70
172.17.12.64, 172.17.12.64
172.17.12.64, 169.254.255.255
172.17.12.64, 172.17.12.1
172.17.12.64, 172.17.12.1
172.17.12.2, 172.17.12.70
172.17.12.50, 172.17.12.52
172.17.12.64, 172.17.12.1
172.17.12.64, 172.17.12.64
172.17.12.64, 172.17.12.1
0.0.0.0, 172.17.12.70
0.0.0.0, 172.17.12.70
0.0.0.0, 172.17.12.70
172.17.12.70, 172.17.12.70
172.17.12.70, 172.17.12.70
172.17.12.70, 172.17.12.70
172.17.12.70, 172.17.12.1
172.17.12.57, 173.194.42.66
172.17.12.57, 172.17.12.1
172.17.12.13, 172.17.12.1
172.17.12.2, 172.17.12.71
172.17.12.2, 172.17.12.71
172.17.12.2, 172.17.12.71
172.17.12.2, 172.17.12.71
172.17.12.71, 172.17.12.1
172.17.12.25, 172.17.12.1
172.17.12.59, 172.17.12.2
172.17.12.38, 172.17.12.2
172.17.12.229, 172.17.12.2
172.17.12.229, 172.17.12.1
172.17.12.29, 172.17.12.1
172.17.12.29, 172.17.12.1
172.17.12.29, 172.17.12.1
172.17.12.29, 172.17.12.1
172.17.12.29, 172.17.12.1
172.17.12.229, 172.17.12.1
172.17.12.2, 172.17.12.72
0.0.0.0, 169.254.66.152
172.17.12.2, 172.17.12.72
0.0.0.0, 169.254.66.152
169.254.66.152, 169.254.66.152
172.17.12.2, 172.17.12.72
172.17.12.2, 172.17.12.72
0.0.0.0, 172.17.12.72
0.0.0.0, 172.17.12.72
172.17.12.72, 172.17.12.72
172.17.12.60, 172.17.12.2
172.17.12.43, 172.17.12.43
172.17.12.43, 169.254.255.255
172.17.12.43, 172.17.12.1
100.105.85.244, 172.17.12.1
100.105.85.244, 172.17.12.1
172.17.12.64, 172.17.12.64
172.17.12.64, 169.254.255.255
172.17.12.64, 169.254.255.255
172.17.12.64, 172.17.12.64
172.17.12.64, 172.17.12.1
0.0.0.0, 172.17.12.43
0.0.0.0, 172.17.12.43
172.17.12.43, 172.17.12.43
172.17.12.43, 172.17.12.43
172.17.12.43, 172.17.12.43
172.17.12.43, 172.17.12.1
172.17.12.43, 169.254.255.255
172.17.12.43, 172.17.12.1
172.17.12.2, 172.17.12.73
172.17.12.2, 172.17.12.73
172.17.12.2, 172.17.12.73
0.0.0.0, 172.17.12.67
172.17.12.55, 172.17.12.2
172.17.12.67, 172.17.12.67
172.17.12.67, 172.17.12.67
172.17.12.2, 172.17.12.73
172.17.12.67, 172.17.12.67
172.17.12.67, 172.17.12.1
172.17.12.67, 169.254.255.255
172.17.12.73, 172.17.12.1
172.17.12.67, 172.17.12.1
172.17.12.67, 172.17.12.1
172.17.12.173, 172.17.12.1
172.17.12.50, 172.17.12.2
172.17.12.61, 172.17.12.2
172.17.12.46, 172.17.12.2
172.17.12.99, 172.17.12.1
172.17.12.2, 172.17.12.74
172.17.12.46, 172.17.12.46
172.17.12.46, 169.254.255.255
172.17.12.2, 172.17.12.74
172.17.12.46, 172.17.12.1
172.17.12.46, 172.17.12.1
172.17.12.2, 172.17.12.74
172.17.12.2, 172.17.12.74
172.17.12.46, 172.17.12.46
172.17.12.46, 172.17.12.1
172.17.12.2, 172.17.12.75
172.17.12.2, 172.17.12.75
172.17.12.2, 172.17.12.76
172.17.12.2, 172.17.12.76
172.17.12.2, 172.17.12.77
172.17.12.2, 172.17.12.75
172.17.12.2, 172.17.12.77
172.17.12.2, 172.17.12.76
172.17.12.2, 172.17.12.77
172.17.12.2, 172.17.12.78
172.17.12.2, 172.17.12.77
172.17.12.2, 172.17.12.78
172.17.12.75, 172.17.12.1
172.17.12.2, 172.17.12.78
172.17.12.49, 172.17.12.2
172.17.12.2, 172.17.12.79
10.143.242.89, 172.17.12.1
172.17.12.2, 172.17.12.79
172.17.12.10, 172.17.12.1
172.17.12.10, 172.17.12.1
172.17.12.10, 172.17.12.1
172.17.12.10, 172.17.12.1
172.17.12.10, 172.17.12.1
172.17.12.78, 172.17.12.1
172.17.12.2, 172.17.12.79
172.17.12.210, 172.17.12.1
172.17.12.66, 172.17.12.2
172.17.12.244, 172.17.12.2
172.17.12.45, 172.17.12.1
172.17.12.57, 172.17.12.2
172.17.12.244, 172.17.12.1
172.17.12.2, 172.17.12.80
172.17.12.2, 172.17.12.80
172.17.12.2, 172.17.12.80
172.17.12.2, 172.17.12.81
172.17.12.2, 172.17.12.81
172.17.12.80, 172.17.12.1
172.17.12.2, 172.17.12.81
172.17.12.29, 172.17.12.1
172.17.12.29, 172.17.12.1
172.17.12.29, 172.17.12.1
172.17.12.29, 172.17.12.1
172.17.12.2, 172.17.12.82
172.17.12.2, 172.17.12.82
172.17.12.38, 172.17.12.2
172.17.12.2, 172.17.12.82
172.17.12.2, 172.17.12.82
172.17.12.82, 172.17.12.1
172.17.12.72, 172.17.12.2
172.17.12.2, 172.17.12.83
172.17.12.45, 172.17.12.1
172.17.12.2, 172.17.12.83
172.17.12.2, 172.17.12.83
172.17.12.2, 172.17.12.83
172.17.12.81, 172.17.12.1
172.17.12.83, 172.17.12.1
172.17.12.244, 172.17.12.1
172.17.12.2, 172.17.12.84
172.17.12.2, 172.17.12.84
172.17.12.2, 172.17.12.84
172.17.12.84, 172.17.12.1
172.17.12.2, 172.17.12.85
172.17.12.52, 172.17.12.50
172.17.12.52, 172.17.12.50
172.17.12.43, 172.17.12.2
172.17.12.50, 172.17.12.18
172.17.12.70, 169.254.255.255
172.17.12.70, 169.254.255.255
172.17.12.70, 172.17.12.1
172.17.12.46, 169.254.255.255
172.17.12.46, 172.17.12.1
172.17.12.46, 172.17.12.1
172.17.12.46, 172.17.12.1
172.17.12.46, 172.17.12.46
172.17.12.46, 172.17.12.1
172.17.12.2, 172.17.12.86
172.17.12.2, 172.17.12.86
172.17.12.2, 172.17.12.86
172.17.12.2, 172.17.12.86
172.17.12.50, 172.17.12.241
172.17.12.50, 172.17.12.241
172.17.12.241, 172.17.12.50
172.17.12.2, 172.17.12.87
172.17.12.2, 172.17.12.87
172.17.12.2, 172.17.12.87
172.17.12.2, 172.17.12.88
172.17.12.2, 172.17.12.88
172.17.12.2, 172.17.12.88
172.17.12.241, 172.17.12.2
172.17.12.52, 172.17.12.50
172.17.12.210, 172.17.12.2
172.17.12.70, 172.17.12.70
172.17.12.70, 172.17.12.1
172.17.12.70, 169.254.255.255
172.17.12.18, 172.17.12.2
172.17.12.78, 172.17.12.2
172.17.12.49, 172.17.12.1
172.17.12.10, 172.17.12.1
172.17.12.10, 172.17.12.1
172.17.12.10, 172.17.12.1
172.17.12.192, 172.17.12.1
172.17.12.50, 172.17.12.50
172.17.12.50, 172.17.12.50
172.17.12.50, 172.17.12.1
0.0.0.0, 172.17.12.28
0.0.0.0, 172.17.12.28
172.17.12.28, 172.17.12.28
172.17.12.28, 172.17.12.28
172.17.12.28, 169.254.255.255
172.17.12.28, 172.17.12.1
172.17.12.28, 172.17.12.1
172.17.12.43, 172.17.12.1
172.17.12.43, 172.17.12.43
172.17.12.43, 172.17.12.1
0.0.0.0, 169.254.216.31
0.0.0.0, 169.254.216.31
172.17.12.244, 172.17.12.1
0.0.0.0, 172.17.12.244
0.0.0.0, 172.17.12.244
0.0.0.0, 172.17.12.244
